Probe,Gene,logFC
1552576_at,RMDN2,-1.481553996853146
223820_at,ADAMTS18,-1.4815512177531727
1553412_at,FAM124A,-1.4810250289361688
203203_s_at,NKAIN3,-1.4809910655331038
222423_at,ITIH5,-1.4802469036207955
210577_at,SMC1B,-1.4795222742093903
223432_at,MAGEE2,-1.479495612702708
215944_at,ERVV-1,-1.479193008452827
219223_at,FLJ30679,-1.4789016980459198
231799_at,Unknown,-1.4788493492121826
201510_at,UTS2R,-1.4785054294514013
224660_at,SLC36A1,-1.4771818439126372
201496_x_at,UMODL1-AS1,-1.4756258146303693
234938_at,RSKR,-1.4749628564691515
211225_at,ADGRG7,-1.4745113632323283
238003_at,TMEM182,-1.4741392233095452
242832_at,CASP8,-1.4736970953162876
210737_at,Unknown,-1.4734945380228976
237583_at,MIR646HG,-1.4733523032279991
241715_x_at,"NA, SLC5A3",-1.4733507518311053
1566201_at,KIF19,-1.4732403813250676
234651_at,SLFNL1,-1.4729796912009676
229547_s_at,RIBC1,-1.472149432545236
1559870_at,CDC14C,-1.4720323151065389
1553081_at,RXFP2,-1.4711073146976374
1570630_at,BEND7,-1.4710182057728012
1568929_at,BASP1-AS1,-1.4696264501856076
236630_at,KCNA6,-1.4688625920928966
239676_x_at,NFX1,-1.4687775647765304
244573_at,ARID2,-1.4687630854081704
1562849_at,FGF13,-1.4677789198655742
224821_at,FBXL18,-1.4675512030658469
217379_at,DNAH6,-1.4674890555264728
233352_at,PNPLA1,-1.4672621426111365
201628_s_at,NIBAN3,-1.466656295838339
207248_at,WDR64,-1.466347962653111
1561481_at,Unknown,-1.4662383673741393
238199_x_at,BTBD9,-1.4661582147829064
220853_at,LINC01101,-1.4659173197081103
1563360_at,CALHM4,-1.4655896343633104
1560917_at,"EFCAB3P1, EFCAB3, HILPDA-AS1",-1.464487621616772
244824_at,TFAP2B,-1.464402502916722
225353_s_at,CD200R1,-1.4641955422846633
1565611_at,Unknown,-1.4640217608845107
1554341_a_at,HFE,-1.4631368043999389
1554646_at,CSMD1,-1.4629223962795854
211314_at,SALL3,-1.462152657363062
200655_s_at,AGBL4,-1.461832787183962
243614_s_at,CNTNAP5,-1.4604979334092343
229014_at,REDIC1,-1.460078540866346
1564600_a_at,LY86-AS1,-1.4599168879367057
1563868_a_at,EDARADD,-1.4595755144300375
225502_at,"NA, OTOA, OTOAP1",-1.4595109835804851
220186_s_at,C18orf15,-1.459149351567371
205031_at,CNTNAP4,-1.458613546780934
230131_x_at,"CNTNAP4, NA",-1.458447628150209
233414_at,C1orf127,-1.457725084441859
210016_at,NA,-1.457637707720214
241610_x_at,LINC00304,-1.4572631688324131
206266_at,ASB14,-1.4569837625272737
1555222_a_at,FEZ1,-1.45669557667641
233837_at,LINC00269,-1.4566205851256246
211009_s_at,VSTM4,-1.4563873731249672
224819_at,FAM9B,-1.4558334455966082
237236_x_at,Unknown,-1.455765008915782
221948_s_at,DCAF8L2,-1.4555582073589
243152_at,HYDIN,-1.4555464852908284
203480_s_at,DNAH17,-1.4553839696467703
