Probe,Gene,logFC
214995_s_at,"RAB42P1, RAB42",1.5411902156186845
202648_at,ZSCAN4,1.5404577514115068
202165_at,VWA5B1,1.5395328991854897
200066_at,"ELOA3DP, ELOA3BP, ELOA3P, ELOA3CP, NA",1.5387898148388208
237463_at,CACNG6,1.53848426605522
212317_at,LMNTD1,1.538282214634649
218672_at,Unknown,1.5373935766347524
220367_s_at,CIRBP-AS1,1.537304669493435
209509_s_at,AXDND1,1.5370636594349465
243733_at,Unknown,1.5367587119301551
206508_at,CD200R1,1.5352991142478076
231258_at,ATOH7,1.5347332822387536
218268_at,ATOH7,1.534708548371537
231064_s_at,"SEC16B, CRYZL2P-SEC16B",1.534382533023882
202675_at,AMER1,1.5342903476062293
209418_s_at,NKX6-3,1.534074602448036
220729_at,NKX6-3,1.5333030822104867
225075_at,TBATA,1.5332883982140326
232926_x_at,CABP4,1.5329686832924367
227150_at,TNFRSF13C,1.5329680856421142
232672_x_at,"NA, ANKRD30BL",1.532521099116981
228881_at,KCNG3,1.5322164747147733
206238_s_at,KCNG3,1.5321600362975323
223512_at,Unknown,1.531697506058853
207703_at,FOXP2,1.531664653541767
204852_s_at,B4GALNT2,1.5315733594611582
243507_s_at,"SIGLEC11, U3",1.530400520216134
231397_at,IL23R,1.5303685582704798
238535_at,CD276,1.529599389393439
231017_at,IFNL2,1.529569341486313
213671_s_at,IFNL1,1.529540597921697
235875_at,C4orf36,1.5286968447722753
208511_at,FIGNL1,1.5284562156541226
215300_s_at,PITPNM2,1.5279024387702989
204652_s_at,PITPNM2,1.5278092752219037
220935_s_at,PCDH10,1.5276102471739987
223040_at,TAB3,1.5274703740375597
210715_s_at,GRK7,1.527186113127559
206922_at,PDE8A,1.5269393261090403
218200_s_at,NLRP6,1.5265231330491804
211490_at,AKNAD1,1.5264974680725965
233971_at,RTL3,1.5257554735014773
1561110_at,ATRIP,1.5256939662505484
212147_at,ANGPT1,1.5251684718945573
242277_at,TEDDM1,1.5251250806268548
201584_s_at,ZNF114,1.524575997361468
214141_x_at,CCDC27,1.5237914236700516
222649_at,CFAP161,1.5237443446518992
209922_at,LRRC15,1.5228192426826257
224139_at,NA,1.5227352716797118
240799_at,CFAP46,1.5223234173471536
227327_at,B3GNT7,1.5220252506984755
235232_at,CBLL2,1.5211504479424867
218572_at,ZMYM6,1.5209840131331416
237690_at,SGCZ,1.5208580681022978
242761_s_at,Unknown,1.5198740704040477
1559986_at,Unknown,1.5197247467486568
240093_x_at,LINC00471,1.5184104301940256
1569157_s_at,FGF4,1.5181407293672968
205452_at,SLC30A8,1.5178960663538934
218746_at,Unknown,1.5178395241616207
216453_at,C11orf65,1.5171628148560445
212178_s_at,GARIN5B,1.5171578349200794
1556175_at,OR5P2,1.5171330922228508
202264_s_at,DYDC1,1.5168330731006074
228778_at,IQCF1,1.5163639794651484
218747_s_at,DEFB125,1.5163400788519343
229535_at,WFDC10B,1.516165530915275
242263_at,"DEFB105A, DEFB105B",1.516153007435972
229068_at,ADGRG4,1.5155456386440416
203094_at,TENM1,1.51507941640819
242856_at,"REXO1L1P, NA",1.5150374950412715
219373_at,RECQL4,1.514858918795391
212712_at,ADGRF3,1.5147754775047497
201441_at,TMC2,1.5145031580522172
231512_at,SMCR5,1.514450489457341
222800_at,BICD2,1.5143336745873435
241593_x_at,ZIM3,1.514261564392245
1554860_at,"SPESP1-NOX5, NOX5",1.5141911379152568
219350_s_at,DAOA-AS1,1.5141906292094784
204080_at,GPR156,1.5135099169537034
223200_s_at,ADGRF4,1.5133880075402264
218497_s_at,IL31RA,1.5128753077964592
223808_s_at,"ADGRF2P, NA",1.5119305359092223
230362_at,SYN2,1.5118870769761692
209401_s_at,ASB10,1.5113684644833507
242515_x_at,Unknown,1.5113066405932283
1561204_at,NFKBID,1.5103277935859916
203344_s_at,CD300LF,1.5101444650626614
210772_at,GJA10,1.5099433487701888
205055_at,WNT9A,1.5098749932275226
229377_at,GAL3ST2,1.5094938870597578
214056_at,PIP4K2B,1.5088212113770945
205070_at,PIP4K2B,1.5083927229443224
223247_at,CIMAP1A,1.5082798520880385
240186_at,CCDC197,1.507889802329006
219035_s_at,SLFN5,1.5076670937050651
218248_at,PGLYRP3,1.506936248399828
224217_s_at,PSKH2,1.5064706184296617
229216_s_at,"OR6W1P, NA",1.5060734482995364
211297_s_at,GPR78,1.505842759877132
228952_at,TAAR9,1.505541269113472
242655_at,"GNRHR2P1, GNRHR2",1.5055331762532873
239371_at,ASB11,1.5041839698062105
226168_at,NA,1.502266690510662
218151_x_at,TRIM40,1.5015499185918233
207530_s_at,CSN1S2AP,1.5009603796551803
209009_at,WFDC12,1.500915261763351
229273_at,Unknown,1.5007729476625546
234202_at,STARD6,1.5002979832623953
216275_at,ZBTB7C-AS2,1.4998432177634782
242098_at,"BCL2L11, NA",1.4996135363676184
201781_s_at,WFDC2,1.4993648517300258
233878_s_at,DEFB119,1.4991371904769026
223244_s_at,BCL2L11,1.4988339148851249
214160_at,TIGD1,1.4987362201687118
1554778_at,ALKBH5,1.4987109882730514
230482_at,CCDC69,1.498689631976397
213826_s_at,NFX1,1.4986484284944694
200830_at,C5orf24,1.4984407813602842
231893_at,"DDX46, C5orf24",1.498294198819936
218254_s_at,C5orf24,1.4977612738687818
208647_at,KBTBD6,1.4976439486181443
228502_at,CDK8,1.4974758986623886
240884_at,CDK8,1.4974584568280567
208505_s_at,NKD1,1.4972319591048786
202176_at,STK38,1.4971687271735836
201632_at,WDR62,1.496772038084394
208149_x_at,WDR62,1.4966510811081204
225693_s_at,RNF168,1.4960324372443687
218145_at,SVEP1,1.4957669357066345
232457_at,GATA4,1.4949049031976778
32837_at,TC2N,1.494880014619134
201569_s_at,C9orf72,1.494683196236555
239944_at,KCTD18,1.494006710894053
237049_at,ANKLE1,1.4930976041494823
241340_at,PLXNA3,1.4930516817429027
230944_at,PELO,1.4928265087769368
235958_at,LACC1,1.4927905123044616
243287_s_at,"TEX55, NA",1.4917882200282053
209659_s_at,ATP6V0D2,1.4915586387234094
202121_s_at,LHX4,1.4910979716055777
200631_s_at,LHX4,1.4907881107140406
218442_at,"RNU6-646P, CEP19",1.4907582036535647
236527_at,DNAH11,1.4900994352481245
244163_at,PROSER3,1.4900701957264562
222609_s_at,SYNRG,1.4899417670894648
225209_s_at,Unknown,1.489934409672281
226238_at,SEPSECS,1.4896981222741161
200767_s_at,GRIK5,1.4895574912061418
243018_at,PDE5A,1.488993572518528
222977_at,SH2D1B,1.4889913612875862
228517_at,SH2D1B,1.4888985233436915
213887_s_at,SSTR3,1.4883236479463895
218349_s_at,DDX31,1.488000697921888
205995_x_at,UMODL1,1.4878841267225078
212086_x_at,PARD3B,1.487138044547241
210163_at,DST,1.4871208527754674
241629_at,ZNF441,1.4870076955048066
213893_x_at,ZNF441,1.4867795162230912
208474_at,FCRL3,1.4864376398268049
234236_at,DCAF4L2,1.4862953748663872
222403_at,CRMA,1.486068867720131
201232_s_at,ARL10,1.4859093799927316
226469_s_at,Unknown,1.4857840850887856
217946_s_at,RNFT2,1.48568014974706
218722_s_at,ANKFN1,1.4856761626514523
227316_at,KRT78,1.4852992127626
202937_x_at,CCDC7,1.485099150504113
230846_at,"NA, CCDC7",1.4849494306788962
205690_s_at,ZNF41,1.4849371015086719
204044_at,ZNF41,1.4846734305572684
203171_s_at,ZNF512,1.4842456854500443
212280_x_at,AMMECR1,1.4836643074434128
214552_s_at,ZNF583,1.4831154148333627
230307_at,ZNF75D,1.482750897698125
231505_s_at,LINC00052,1.4827210875810983
203686_at,CCDC89,1.4821358739569515
1558739_at,ZNF572,1.4820044768802025
222512_at,PCDHAC1,1.481355608667012
203536_s_at,PCDHAC1,1.481272341932444
241226_at,HIPK4,1.481071163588172
231588_at,FANCB,1.4800598868566002
222487_s_at,POMK,1.4800468581970827
1552275_s_at,"ZNF709, NA",1.4800313943048957
226488_at,CCDC57,1.4795956696612227
205300_s_at,BRWD3,1.4795110848272364
210751_s_at,ASB16,1.479506546886181
231632_at,GAL3ST3,1.4790492761865666
210258_at,C2CD6,1.478891047871913
224204_x_at,USH1G,1.4784880963316658
229284_at,SYN1,1.4784285497858918
223871_x_at,SLC23A3,1.478232618528565
207829_s_at,CNOT6L,1.477984367431662
226798_at,"CNOT6L, CNOT6LP1",1.4778119022118748
234862_at,RHBDL3,1.477539648552243
231934_at,ZNF718,1.47750593193266
59999_at,DIP2B,1.4774915958566097
223644_s_at,SNRNP48,1.477115086109575
214580_x_at,Unknown,1.4766665229648663
200682_s_at,ZNF560,1.4766458801316367
218664_at,RTTN,1.4764501111347972
214260_at,BTNL9,1.4759180915502252
213655_at,PUS10,1.475801942615481
201583_s_at,PLCXD2,1.4757510108984775
1562223_at,LMLN,1.4755620548335924
239413_at,RAD9B,1.475368661353441
226115_at,ZNF555,1.4752003444461874
212955_s_at,NYAP1,1.4751736272899452
229420_at,MRGPRX3,1.4748565504281148
209972_s_at,ABCA13,1.474609425142723
216941_s_at,CSF3R,1.4744986867105774
216519_s_at,CD300LD-AS1,1.4744357403351767
221097_s_at,Unknown,1.4743658691558459
239933_x_at,DGKH,1.4742433527486427
223245_at,"C16orf46, NA",1.4740220700718198
234280_at,LSM14B,1.4738487384981245
222523_at,GPR82,1.4727677854971477
223513_at,GPR82,1.4725320729009774
223386_at,OXGR1,1.4720738232531447
205071_x_at,SULT1C4,1.4719874374029494
210218_s_at,TEAD1,1.4718748532858599
235064_s_at,"CATSPER2, CATSPER2P1",1.471316819665386
219150_s_at,POU5F2,1.471302003889242
236944_at,SLC18A2,1.4707650077413974
227912_s_at,SSMEM1,1.4703116531076637
1568935_at,SSMEM1,1.4700423991414493
214100_x_at,MAB21L3,1.4697634747882296
242681_at,MIER3,1.4693775247268752
201239_s_at,SDE2,1.4692699954960693
226781_at,"SLC35G6, SLC35G5, MTMR9, NA, SLC35G3",1.4692422687365951
232119_at,UROC1,1.4691726009130222
236315_at,PCDH15,1.469055772270835
221960_s_at,TNRC6A,1.4689412209906956
221135_s_at,AMER3,1.4684690358416839
210572_at,OTUD7A,1.4684574661269254
216945_x_at,ERVW-1,1.4681128328303295
200786_at,NA,1.4680277584841177
231002_s_at,Unknown,1.4679223168947788
208952_s_at,Unknown,1.4678864782822172
201543_s_at,FBXL18,1.4676943567663927
1568678_s_at,LINC01600,1.4674301565839178
240217_s_at,DEPDC4,1.4669606139034248
220658_s_at,"ANKRD23, ANKRD39",1.4667922040133043
241948_at,COX6B2,1.466671593447484
222479_s_at,EPHA10,1.4665020780337392
243697_at,Unknown,1.4664763148042477
237917_at,AXDND1,1.4660900849371334
238182_at,HEATR9,1.46604905058377
235054_at,PARP15,1.4660446679523862
1568365_at,ARHGAP42,1.4659762799092062
227815_at,Unknown,1.4658823916528554
210780_at,ATM,1.4658391252979344
218447_at,NPHP3,1.464921762710635
238475_at,ATG9B,1.4646517710523144
210950_s_at,CXorf58,1.4646510079438426
231050_at,"CCDC13, NA",1.4641380357669211
221692_s_at,CCDC13,1.4640627583252945
217185_s_at,LINC02210,1.4638836955597831
231534_at,LINC02210,1.4635672829983188
201026_at,MRGPRX1,1.4634947135320768
1569391_at,RLN3,1.4629853853503576
202407_s_at,MACF1,1.4625190293584223
224782_at,ADAMTS20,1.4625124656961315
202927_at,ABCC12,1.4624703447824747
238437_at,LCAL1,1.461269224743805
242964_at,SLC17A8,1.4609721370391933
223000_s_at,LINC02873,1.4608956321171263
229714_at,SATB2-AS1,1.4602619597886481
209773_s_at,RBFOX1,1.4602364093531826
201068_s_at,SLFN13,1.460230021816032
1557151_at,CFAP57,1.4600732676235637
212630_at,LINC03122,1.4599497600812184
1554063_at,ADAMTS15,1.4599421725759605
1553587_a_at,NA,1.4598895122781197
1555982_at,CCDC171,1.4594099903079742
1559363_at,Unknown,1.4591605433708488
223480_s_at,MUC19,1.4591326515722285
227633_at,KLHDC7A,1.4590618755054947
202868_s_at,NDUFV1-DT,1.4590582394242282
233377_at,Unknown,1.4587462523106363
207622_s_at,AQP4-AS1,1.4586338023985106
214377_s_at,FER1L6-AS1,1.4579122814846857
218339_at,AGBL1,1.457613186981015
1569892_at,LINC02880,1.4574828451529513
225797_at,"ACSF3, LINC00304",1.4572017797690675
207805_s_at,TERB1,1.4570918732984597
202453_s_at,MYO1H,1.4570869751326287
214526_x_at,RPTN,1.4569443936051936
227606_s_at,CCDC150,1.4560256782251526
219763_at,STPG4,1.4558568100252656
210448_s_at,FLJ40288,1.4557048970569064
202376_at,CES5A,1.4556133498307786
219275_at,CFAP47,1.4555627378340705
217389_s_at,"NA, POTEB, POTEB2, POTEB3, POTED, POTEC",1.4548644895405882
218565_at,Unknown,1.4547604463167096
217882_at,KIRREL3-AS3,1.4547111270545847
216194_s_at,"TMEM145, MEGF8",1.45456022536956
201231_s_at,C15orf32,1.454415316514367
228774_at,CCDC140,1.4540522876026694
233792_at,TEKT5,1.45350505184679
200976_s_at,TEKT5,1.453180242445518
202640_s_at,TDH,1.4529085525639758
203880_at,LINC00615,1.4528808711552341
212376_s_at,SERPINA9,1.4526002261106645
207029_at,"FBXL21P, NA",1.4523437135293402
210196_s_at,CPO,1.4518964958251133
209393_s_at,MDS2,1.4516564629274384
204497_at,CNOT9,1.451337324483976
51176_at,COPS9,1.4509659881188013
225148_at,LINC00314,1.4502171141535967
207674_at,"DEFB104B, DEFB104A",1.4500685745562407
206662_at,NLRP14,1.449838173371762
214310_s_at,NLRP13,1.4498018100892385
226065_at,NLRP9,1.4495769124948534
209017_s_at,TAF5,1.4495424870092133
213087_s_at,"ITGB1, ITGB1P1",1.4493174658246466
241147_at,PCSK6,1.4491990124706517
1566571_at,ZNF341,1.4491537153131508
217808_s_at,RANGAP1,1.4484984255085165
224784_at,Unknown,1.4484218397351614
221657_s_at,KRT73,1.44823432560178
221711_s_at,KRT74,1.4481104624820194
218571_s_at,SLC29A2,1.4480618536004441
222401_s_at,LMX1A,1.4479769925512525
237949_at,CCDC125,1.447961374029625
229821_at,Unknown,1.4478859431704594
219021_at,Unknown,1.4478851602561689
222405_at,VN1R2,1.4478171806172928
210710_at,"MT-ND1, MT-TI, MT-TM, MT-ND2",1.4474514070697473
232265_at,TAS2R39,1.446962563647596
200683_s_at,TAS2R38,1.446817895131907
208793_x_at,TMEM171,1.4466070417702461
225314_at,"VN1R6P, NA, VN1R4",1.445782998408768
217716_s_at,TAS2R50,1.445768016612344
202288_at,"MT-CO1, MT-TD, MT-CO2",1.4448423120709961
91617_at,EFNA2,1.4445511972470375
240391_at,"MT-ND6, MT-TE",1.4443894288202008
230754_at,"SPAG11A, SPAG11B",1.444288060620941
239368_at,"SPAG11A, SPAG11B",1.4441209771455035
1552274_at,DIPK2B,1.443839032769669
1556300_s_at,FBXL19-AS1,1.4437535193141153
230708_at,PDZK1IP1,1.4432322394531614
238154_at,Unknown,1.4431326839849483
239902_at,INSL3,1.4430508217673943
1555272_at,TMIE,1.442923611668415
1553226_at,TMIE,1.442640784188383
218420_s_at,MUCL1,1.4426292777043377
217320_at,ABCA13,1.4425388915385327
239832_at,ABCA13,1.4421068515334174
202057_at,LINC00189,1.4419887464579084
213460_x_at,"BACH1, LINC00189",1.4418546228917977
201289_at,"ZNF354B, RNU1-39P",1.4413069530552216
202450_s_at,"NA, LINC01198",1.4411545135041963
1562823_at,"TRIM43CP, TRIM43, TRIM43B, NA",1.4409990607412575
202414_at,Unknown,1.4404936819550433
1564631_at,EFCAB13,1.4402331002875566
1554216_at,GARIN3,1.4401810268034299
202674_s_at,WEE2-AS1,1.4401387150293261
208959_s_at,DYNLT5,1.4400752096780411
210826_x_at,TMCO5A,1.4397006341385372
